timestamp_ns,packet_len,direction,emulation_mode
154561354368066,66,in,oai-rfsim-netns-veth-bpftime
154561354427326,66,in,oai-rfsim-netns-veth-bpftime
154561354491522,98,in,oai-rfsim-netns-veth-bpftime
154561354528630,30474,in,oai-rfsim-netns-veth-bpftime
154561354552606,30474,in,oai-rfsim-netns-veth-bpftime
154561354567307,30474,in,oai-rfsim-netns-veth-bpftime
154561354589829,30474,in,oai-rfsim-netns-veth-bpftime
154561354638523,1410,in,oai-rfsim-netns-veth-bpftime
154561355091723,66,in,oai-rfsim-netns-veth-bpftime
154561355118595,66,in,oai-rfsim-netns-veth-bpftime
154561355164369,98,in,oai-rfsim-netns-veth-bpftime
154561355182042,30474,in,oai-rfsim-netns-veth-bpftime
154561355189674,378,in,oai-rfsim-netns-veth-bpftime
154561355206395,30474,in,oai-rfsim-netns-veth-bpftime
154561355210590,410,in,oai-rfsim-netns-veth-bpftime
154561355222307,30474,in,oai-rfsim-netns-veth-bpftime
154561355226098,410,in,oai-rfsim-netns-veth-bpftime
154561355237737,30474,in,oai-rfsim-netns-veth-bpftime
154561355241089,410,in,oai-rfsim-netns-veth-bpftime
154561355279754,66,in,oai-rfsim-netns-veth-bpftime
154561355632480,66,in,oai-rfsim-netns-veth-bpftime
154561355652013,98,in,oai-rfsim-netns-veth-bpftime
154561355663646,30474,in,oai-rfsim-netns-veth-bpftime
154561355669338,378,in,oai-rfsim-netns-veth-bpftime
154561355681920,30474,in,oai-rfsim-netns-veth-bpftime
154561355684303,410,in,oai-rfsim-netns-veth-bpftime
154561355693329,30474,in,oai-rfsim-netns-veth-bpftime
154561355695434,410,in,oai-rfsim-netns-veth-bpftime
154561355704102,30474,in,oai-rfsim-netns-veth-bpftime
154561355706178,410,in,oai-rfsim-netns-veth-bpftime
154561355731725,30474,in,oai-rfsim-netns-veth-bpftime
154561355734081,410,in,oai-rfsim-netns-veth-bpftime
154561355742430,30474,in,oai-rfsim-netns-veth-bpftime
154561355744751,410,in,oai-rfsim-netns-veth-bpftime
154561355753346,30474,in,oai-rfsim-netns-veth-bpftime
154561355755637,410,in,oai-rfsim-netns-veth-bpftime
154561355766218,30474,in,oai-rfsim-netns-veth-bpftime
154561355768286,410,in,oai-rfsim-netns-veth-bpftime
154561355793081,30474,in,oai-rfsim-netns-veth-bpftime
154561355795774,410,in,oai-rfsim-netns-veth-bpftime
154561355806609,30474,in,oai-rfsim-netns-veth-bpftime
154561355808713,410,in,oai-rfsim-netns-veth-bpftime
154561355819931,30474,in,oai-rfsim-netns-veth-bpftime
154561355823744,410,in,oai-rfsim-netns-veth-bpftime
154561355837980,30474,in,oai-rfsim-netns-veth-bpftime
154561355840425,410,in,oai-rfsim-netns-veth-bpftime
154561355864677,30474,in,oai-rfsim-netns-veth-bpftime
154561355867319,410,in,oai-rfsim-netns-veth-bpftime
154561355876124,30474,in,oai-rfsim-netns-veth-bpftime
154561355878300,410,in,oai-rfsim-netns-veth-bpftime
154561355886562,30474,in,oai-rfsim-netns-veth-bpftime
154561355890330,410,in,oai-rfsim-netns-veth-bpftime
154561355900431,30474,in,oai-rfsim-netns-veth-bpftime
154561355902908,410,in,oai-rfsim-netns-veth-bpftime
154561355912346,66,in,oai-rfsim-netns-veth-bpftime
154561355921761,98,in,oai-rfsim-netns-veth-bpftime
154561355926078,30474,in,oai-rfsim-netns-veth-bpftime
154561355929724,378,in,oai-rfsim-netns-veth-bpftime
154561355943861,30474,in,oai-rfsim-netns-veth-bpftime
154561355946637,410,in,oai-rfsim-netns-veth-bpftime
154561355956602,30474,in,oai-rfsim-netns-veth-bpftime
154561355958792,410,in,oai-rfsim-netns-veth-bpftime
154561355968023,30474,in,oai-rfsim-netns-veth-bpftime
154561355970381,410,in,oai-rfsim-netns-veth-bpftime
154561356115940,66,in,oai-rfsim-netns-veth-bpftime
154561356129234,66,in,oai-rfsim-netns-veth-bpftime
154561356143317,98,in,oai-rfsim-netns-veth-bpftime
154561356150014,30474,in,oai-rfsim-netns-veth-bpftime
154561356152612,378,in,oai-rfsim-netns-veth-bpftime
154561356165169,30474,in,oai-rfsim-netns-veth-bpftime
154561356167421,410,in,oai-rfsim-netns-veth-bpftime
154561356179026,30474,in,oai-rfsim-netns-veth-bpftime
154561356181241,410,in,oai-rfsim-netns-veth-bpftime
154561356190765,30474,in,oai-rfsim-netns-veth-bpftime
154561356192958,410,in,oai-rfsim-netns-veth-bpftime
154561356658403,66,in,oai-rfsim-netns-veth-bpftime
154561356687789,66,in,oai-rfsim-netns-veth-bpftime
154561356717100,98,in,oai-rfsim-netns-veth-bpftime
154561356727246,30474,in,oai-rfsim-netns-veth-bpftime
154561356734293,378,in,oai-rfsim-netns-veth-bpftime
154561356756338,30474,in,oai-rfsim-netns-veth-bpftime
154561356758804,410,in,oai-rfsim-netns-veth-bpftime
154561356768865,30474,in,oai-rfsim-netns-veth-bpftime
