cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
2933,19200,11489.7,-1,11912.9,gcp_kvm_cxl_bpftime_node1,measured
2934,19200,11146.3,-1,11592.9,gcp_kvm_cxl_bpftime_node1,measured
2935,19200,11150.2,-1,11593.8,gcp_kvm_cxl_bpftime_node1,measured
2936,19200,11198.7,-1,11713.0,gcp_kvm_cxl_bpftime_node1,measured
2937,19200,10854.7,-1,11329.6,gcp_kvm_cxl_bpftime_node1,measured
2938,19200,11275.8,-1,11697.4,gcp_kvm_cxl_bpftime_node1,measured
2939,19200,11227.5,-1,11428.3,gcp_kvm_cxl_bpftime_node1,measured
2940,19200,11239.5,-1,11526.8,gcp_kvm_cxl_bpftime_node1,measured
2941,19200,10579.2,-1,11060.8,gcp_kvm_cxl_bpftime_node1,measured
2942,19200,10621.4,-1,11084.7,gcp_kvm_cxl_bpftime_node1,measured
2943,19200,11248.2,-1,11691.4,gcp_kvm_cxl_bpftime_node1,measured
2944,19200,10876.4,-1,11338.2,gcp_kvm_cxl_bpftime_node1,measured
2945,19200,11171.2,-1,11377.6,gcp_kvm_cxl_bpftime_node1,measured
2946,19200,10702.5,-1,11104.9,gcp_kvm_cxl_bpftime_node1,measured
2947,19200,11199.4,-1,11630.8,gcp_kvm_cxl_bpftime_node1,measured
2948,19200,11109.7,-1,11539.3,gcp_kvm_cxl_bpftime_node1,measured
2949,19200,11159.9,-1,11442.7,gcp_kvm_cxl_bpftime_node1,measured
2950,19200,11138.1,-1,11483.9,gcp_kvm_cxl_bpftime_node1,measured
2951,19200,11101.9,-1,11622.7,gcp_kvm_cxl_bpftime_node1,measured
2952,19200,11408.4,-1,11828.6,gcp_kvm_cxl_bpftime_node1,measured
2953,19200,11012.3,-1,11379.8,gcp_kvm_cxl_bpftime_node1,measured
2954,19200,11016.7,-1,11386.4,gcp_kvm_cxl_bpftime_node1,measured
2955,19200,10755.8,-1,11215.3,gcp_kvm_cxl_bpftime_node1,measured
2956,19200,11157.5,-1,11497.2,gcp_kvm_cxl_bpftime_node1,measured
2957,19200,10740.4,-1,11276.9,gcp_kvm_cxl_bpftime_node1,measured
2958,19200,11264.6,-1,11714.5,gcp_kvm_cxl_bpftime_node1,measured
2959,19200,11016.7,-1,11569.0,gcp_kvm_cxl_bpftime_node1,measured
2960,19200,11224.5,-1,11438.1,gcp_kvm_cxl_bpftime_node1,measured
2961,19200,11151.4,-1,11646.8,gcp_kvm_cxl_bpftime_node1,measured
2962,19200,11416.9,-1,11898.8,gcp_kvm_cxl_bpftime_node1,measured
2963,19200,10942.6,-1,11419.1,gcp_kvm_cxl_bpftime_node1,measured
2964,19200,11112.5,-1,11601.9,gcp_kvm_cxl_bpftime_node1,measured
2965,19200,11205.9,-1,11578.4,gcp_kvm_cxl_bpftime_node1,measured
2966,19200,11192.6,-1,11674.3,gcp_kvm_cxl_bpftime_node1,measured
2967,19200,10821.6,-1,11313.3,gcp_kvm_cxl_bpftime_node1,measured
2968,19200,11374.6,-1,11773.1,gcp_kvm_cxl_bpftime_node1,measured
2969,19200,11230.2,-1,11695.0,gcp_kvm_cxl_bpftime_node1,measured
2970,19200,11290.3,-1,11600.6,gcp_kvm_cxl_bpftime_node1,measured
2971,19200,11192.9,-1,11600.3,gcp_kvm_cxl_bpftime_node1,measured
2972,19200,10629.6,-1,11068.3,gcp_kvm_cxl_bpftime_node1,measured
2973,19200,11031.2,-1,11388.5,gcp_kvm_cxl_bpftime_node1,measured
2974,19200,11197.0,-1,11578.5,gcp_kvm_cxl_bpftime_node1,measured
2975,19200,10587.4,-1,10945.6,gcp_kvm_cxl_bpftime_node1,measured
2976,19200,10868.3,-1,11064.5,gcp_kvm_cxl_bpftime_node1,measured
2977,19200,10754.9,-1,11220.9,gcp_kvm_cxl_bpftime_node1,measured
2978,19200,11139.3,-1,11597.2,gcp_kvm_cxl_bpftime_node1,measured
2979,19200,11075.9,-1,11500.3,gcp_kvm_cxl_bpftime_node1,measured
2980,19200,11018.6,-1,11384.4,gcp_kvm_cxl_bpftime_node1,measured
2981,19200,10972.9,-1,11520.3,gcp_kvm_cxl_bpftime_node1,measured
2982,19200,11129.4,-1,11565.5,gcp_kvm_cxl_bpftime_node1,measured
2983,19200,10665.9,-1,11104.0,gcp_kvm_cxl_bpftime_node1,measured
2984,19200,11156.0,-1,11527.7,gcp_kvm_cxl_bpftime_node1,measured
2985,19200,11165.2,-1,11534.6,gcp_kvm_cxl_bpftime_node1,measured
2986,19200,10904.8,-1,11328.5,gcp_kvm_cxl_bpftime_node1,measured
2987,19200,10781.1,-1,11209.2,gcp_kvm_cxl_bpftime_node1,measured
2988,19200,11412.4,-1,11825.6,gcp_kvm_cxl_bpftime_node1,measured
2989,19200,11105.7,-1,11541.2,gcp_kvm_cxl_bpftime_node1,measured
2990,19200,11183.9,-1,11650.0,gcp_kvm_cxl_bpftime_node1,measured
2991,19200,11217.8,-1,11576.2,gcp_kvm_cxl_bpftime_node1,measured
2992,19200,11275.1,-1,11539.9,gcp_kvm_cxl_bpftime_node1,measured
2993,19200,10593.7,-1,10995.4,gcp_kvm_cxl_bpftime_node1,measured
2994,19200,10813.5,-1,11149.4,gcp_kvm_cxl_bpftime_node1,measured
2995,19200,11277.1,-1,11760.8,gcp_kvm_cxl_bpftime_node1,measured
2996,19200,10704.2,-1,10939.7,gcp_kvm_cxl_bpftime_node1,measured
2997,19200,10893.6,-1,11176.3,gcp_kvm_cxl_bpftime_node1,measured
2998,19200,10455.5,-1,10840.5,gcp_kvm_cxl_bpftime_node1,measured
2999,19200,10822.5,-1,11249.4,gcp_kvm_cxl_bpftime_node1,measured
3000,19200,11222.5,-1,11459.3,gcp_kvm_cxl_bpftime_node1,measured
3001,19200,11071.5,-1,11615.5,gcp_kvm_cxl_bpftime_node1,measured
3002,19200,11205.5,-1,11646.1,gcp_kvm_cxl_bpftime_node1,measured
3003,19200,10919.6,-1,11291.9,gcp_kvm_cxl_bpftime_node1,measured
3004,19200,10762.7,-1,11102.3,gcp_kvm_cxl_bpftime_node1,measured
3005,19200,10872.5,-1,11260.0,gcp_kvm_cxl_bpftime_node1,measured
3006,19200,11360.9,-1,11663.8,gcp_kvm_cxl_bpftime_node1,measured
3007,19200,11257.9,-1,11665.8,gcp_kvm_cxl_bpftime_node1,measured
3008,19200,11252.1,-1,11637.6,gcp_kvm_cxl_bpftime_node1,measured
3009,19200,10870.2,-1,11340.3,gcp_kvm_cxl_bpftime_node1,measured
3010,19200,11240.3,-1,11761.5,gcp_kvm_cxl_bpftime_node1,measured
